date,market_return,coverage,frac_down,fast_market_vol,slow_market_vol,vol_ratio,vol_percentile,apc_window,apc,apc_n_names,apc_threshold_quantile,market_tail_quantile,breadth_quantile,coverage_quantile,apc_threshold,market_return_threshold,frac_down_threshold,coverage_floor,apc_excess,apc_excess_percentile,market_stress_percentile,breadth_percentile,event_severity,drop_z_threshold,adaptive_trade_horizon_days,adaptive_daily_lot_log_return_cap
2013-10-11,0.004729715632366529,4566.0,0.22864651773981604,0.005567279363399991,0.005457896100440489,1.0200412871455495,0.712798766383963,61.0,0.07606537868152156,121.0,0.799479568234387,0.09308018504240556,0.7281996915959907,0.24308018504240556,0.16516201533062808,-0.008684104223539945,0.4571814942375627,178.0,-0.08909663664910651,0.8782868839552826,0.5563569400751938,0.12077035218292027,,1.2649475405652875,57,0.16182562249877375
2013-10-14,0.001282529940233829,4564.0,0.29754601226993865,0.0055099083923992815,0.005442315103165241,1.0124199514274226,0.6986354174697402,62.0,0.07596148282961734,121.0,0.7945223961144091,0.09520468737953898,0.724658854367435,0.245204687379539,0.1635634806334884,-0.008572813739565789,0.4544159445147882,179.0,-0.08760199780387107,0.8782964654018736,0.556390977443609,0.283412613165567,,1.2600067584954033,57,0.16040108118116164
2013-10-15,-0.004130737486821883,4566.0,0.55562855891371,0.0053578035267655266,0.00540036345367403,0.9921190624902203,0.6537927844588344,67.0,0.08146953556633514,122.0,0.7788274745605921,0.10193108233117486,0.7134481961147087,0.25193108233117484,0.15855070731240153,-0.00817761913518953,0.45161290322580644,179.0,-0.0770811717460664,0.8783060453400504,0.7917146144994246,0.8710395090141926,0.8470200562845559,1.2466301233091794,55,0.15422311726801746
2013-10-16,0.0064585444422649374,4571.0,0.19733099978122948,0.005318692559820126,0.00538798936334781,0.9871386525001179,0.6422569952979265,68.0,0.08297190053811153,122.0,0.7747899483542743,0.10366145070531105,0.7105642488244817,0.25366145070531104,0.15724537913077763,-0.008076464324263538,0.45058078386845074,180.0,-0.0742734785926661,0.8783156237701693,0.5563823258668303,0.06996011046333231,,1.2429737496457394,54,0.1531293045515875
2013-10-17,0.008006309149649607,4575.0,0.18579234972677597,0.005364684493859916,0.0053994123753429895,0.9935682109331634,0.6572375520271312,66.0,0.08751604260315184,122.0,0.7800331432094959,0.10141436719593033,0.7143093880067828,0.25141436719593035,0.15884864722991363,-0.008206053046652473,0.45161290322580644,179.0,-0.07133260462676179,0.8783252006925861,0.5564163534555496,0.05668482012732991,,1.2473687478205906,55,0.15488842332217295
2013-10-18,0.005412658658953383,4576.0,0.2465034965034965,0.00548874517187919,0.005439151168863272,1.0091179673953212,0.6924084778420039,63.0,0.08640536163531304,122.0,0.7923429672447013,0.09613872832369943,0.723102119460501,0.24613872832369943,0.1627047470549706,-0.008508883100204994,0.45356167374001694,179.0,-0.07629938541965756,0.8783347761076572,0.556450375824513,0.15585212455898143,,1.2579114978139487,57,0.15962677011733126
2013-10-21,-0.0006418917832906558,4576.0,0.3951048951048951,0.005430389597216028,0.005429879567909536,1.0000939301323564,0.6722410604192355,65.0,0.08395806673172392,122.0,0.7852843711467324,0.0991638409371147,0.7180602651048089,0.2491638409371147,0.1605325560419362,-0.008334590231692845,0.45161290322580644,179.0,-0.07657448931021228,0.8783443500157381,0.6019633407469898,0.585551039190122,0.6886195766509499,1.2519501953582566,56,0.1571461897557894
2013-10-22,0.0047593233129402494,4577.0,0.27507100720996286,0.0052961679932383345,0.005389392014787369,0.9827023120060209,0.6317330661940356,69.0,0.08591557131344497,122.0,0.7711065731679125,0.10524004007089467,0.707933266548509,0.2552400400708947,0.15630077658200522,-0.007981929037005845,0.4489603651516467,180.0,-0.07038520526856025,0.8783539224171847,0.556441717791411,0.22308282208588956,,1.2397345508794544,53,0.1519418668073152
2013-10-23,-0.004024465606547421,4579.0,0.4605809128630705,0.005214152235022362,0.0053715924631148855,0.9706902135309746,0.601787640622592,71.0,0.08430499405587538,122.0,0.7606256742179073,0.10973185390661121,0.7004469101556481,0.2597318539066112,0.15317950659989227,-0.007763235200630121,0.4441167434842332,181.0,-0.06887451254401689,0.8783634933123525,0.7877463384709762,0.7323824860056745,0.7994974392630011,1.2317150455771928,50,0.14899172260427632
2013-10-24,0.0036920052435286984,4578.0,0.3010048055919616,0.005219941140445012,0.005361737078880184,0.9735541045095807,0.6093689806610679,71.0,0.08406239531820436,122.0,0.7632791432313738,0.10859465290083982,0.702342245165267,0.2585946529008398,0.15373328372476278,-0.0078119165714586655,0.44540587953087724,180.0,-0.06967088840655841,0.8783730627015971,0.5564330624137402,0.2981904615856464,,1.234193187455142,51,0.149786677086319
